2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m
36792;53554;63574;36640;85768;38984;19184;68104;48106;36464;118658;75840;39030;145352;106296;55138;132632;126620;15108;58346;39244;29480;85428;61046;43752;118006;87236;47950;123652;110848;58658;126608;115686;39442;29594;24524;24522;65662;53934;36680;109378;66002;49686;70780;68386;60984;129324;81626;89118;75032;69124;24718;59942;44414;25040;103038;93102;50740;114054;107562
36634;53378;68194;37656;111770;41660;19494;74524;43698;36188;65540;72632;36400;159124;107290;76458;133210;142438;15108;58344;39238;29482;85424;61026;43752;117998;87228;47952;123648;110856;58658;126604;115678;39442;29594;24524;24520;65660;53932;36680;109382;66000;49688;70780;68388;60984;129336;81636;89118;75034;69122;24720;59940;44414;25040;103036;93102;50740;114054;107556
36632;53350;68194;37656;111768;41660;19498;74524;43698;36188;65540;72626;36402;159126;107290;76456;133210;142438;15108;58342;39236;29482;85424;61024;43756;117988;87224;47952;123646;110850;58650;126606;115676;39442;29596;24526;24520;65662;53932;36684;109380;66006;49680;70772;68388;60982;129346;81640;89106;75034;69122;24718;59942;44418;25040;103038;93102;50742;114046;107548
36460;55266;65242;36532;115110;29980;19498;74524;43698;36186;65540;72624;36404;159120;107284;76456;133216;142438;15110;58344;39236;29482;85424;61024;43758;117990;87232;47952;123640;110848;58650;126614;115676;32348;34836;26788;24404;84210;57190;36524;69608;72058;49448;65228;71080;61498;38976;79594;103070;36740;112104;24536;62662;44496;24740;100782;89542;49822;102148;100150
36460;55262;65240;36530;115114;29956;19496;74522;43698;36188;65538;72626;36404;159118;107290;76452;133220;142446;15110;58344;39230;29480;85426;61016;43758;117998;87234;47952;123648;110848;58656;126614;115686;32348;34840;26784;24400;84204;57188;36524;69606;72064;49448;65228;71080;61514;38986;79598;103068;36740;112100;24538;62660;44496;24738;100774;89540;49822;102148;100138
36846;56960;69296;35984;114688;26892;19692;64116;57862;36470;53060;77254;36580;159698;105480;60896;140066;142746;16256;52540;38528;30536;78718;59472;43798;115098;74192;45254;127862;103284;58138;151466;126250;32348;34846;26784;24400;84206;57192;36518;69608;72058;49448;65218;71078;61516;38998;79836;103068;36752;112112;24538;62664;44496;24738;100768;89540;49822;102156;100130
36848;56962;69296;35986;114688;26894;19692;64116;57862;36470;53020;77248;36580;159704;105478;60892;140074;142746;16258;52580;38526;30536;78712;55820;43798;115104;74192;45254;127858;103342;58138;151466;126260;32348;34844;26784;24402;84212;57192;36518;69608;72060;49442;65218;71076;61508;39010;79824;103068;36766;112114;24802;61248;48578;25028;104918;89122;50060;134582;86992
36648;54284;64594;36398;112490;24598;19694;64112;57864;36472;53018;77232;36580;159706;105480;60896;140084;142746;16258;52578;38526;30536;78708;55818;43798;115104;74186;45254;127858;103342;58144;151456;126262;32348;34840;26786;24404;84218;57194;36518;69608;72058;49440;65218;71080;61508;38998;79822;103068;36766;112114;24802;61252;48578;25028;104912;89122;50060;134584;86982
36648;54280;64590;36400;112494;24600;19694;64114;57864;36474;53020;77232;36578;159704;105480;60896;140074;142754;16258;52580;38526;30538;78710;55818;43798;115102;74190;45254;127868;103342;58146;151448;126260;32348;34836;26786;24404;84216;57194;36522;69646;72058;49440;65228;71080;61508;38986;79594;103068;36756;112116;24802;61250;48578;25028;104910;89122;50060;134584;86976
38502;55016;71520;35938;115028;44052;20358;70730;54080;37468;94256;62488;36174;147246;110404;57662;158636;130968;16258;52580;38526;30540;78710;55820;43802;115094;74190;45254;127866;103342;58146;151460;126260;31188;28516;27290;24580;80032;41018;37558;107154;60524;48726;111572;71142;60926;43792;67744;94770;28580;80668;24512;62214;48438;25436;105802;95184;49732;116104;93598
